step: 1540000, arr size: 15400000
step: 1550000, arr size: 15500000
step: 1560000, arr size: 15600000
step: 1570000, arr size: 15700000
step: 1580000, arr size: 15800000
step: 1590000, arr size: 15900000
step: 1600000, arr size: 16000000
step: 1610000, arr size: 16100000
step: 1620000, arr size: 16200000
step: 1630000, arr size: 16300000
step: 1640000, arr size: 16400000
step: 1650000, arr size: 16500000
step: 1660000, arr size: 16600000
step: 1670000, arr size: 16700000
step: 1680000, arr size: 16800000
step: 1690000, arr size: 16900000
step: 1700000, arr size: 17000000
step: 1710000, arr size: 17100000
step: 1720000, arr size: 17200000
step: 1730000, arr size: 17300000
step: 1740000, arr size: 17400000
step: 1750000, arr size: 17500000
step: 1760000, arr size: 17600000
step: 1770000, arr size: 17700000
step: 1780000, arr size: 17800000
step: 1790000, arr size: 17900000
step: 1800000, arr size: 18000000
step: 1810000, arr size: 18100000
step: 1820000, arr size: 18200000
step: 1830000, arr size: 18300000
step: 1840000, arr size: 18400000
step: 1850000, arr size: 18500000
step: 1860000, arr size: 18600000
step: 1870000, arr size: 18700000
step: 1880000, arr size: 18800000
step: 1890000, arr size: 18900000
step: 1900000, arr size: 19000000
step: 1910000, arr size: 19100000
step: 1920000, arr size: 19200000
step: 1930000, arr size: 19300000
step: 1940000, arr size: 19400000
step: 1950000, arr size: 19500000
step: 1960000, arr size: 19600000
step: 1970000, arr size: 19700000
step: 1980000, arr size: 19800000
step: 1990000, arr size: 19900000
step: 2000000, arr size: 20000000
step: 2010000, arr size: 20100000
step: 2020000, arr size: 20200000
step: 2030000, arr size: 20300000
step: 2040000, arr size: 20400000
step: 2050000, arr size: 20500000
step: 2060000, arr size: 20600000
step: 2070000, arr size: 20700000
step: 2080000, arr size: 20800000
step: 2090000, arr size: 20900000
step: 2100000, arr size: 21000000
step: 2110000, arr size: 21100000
step: 2120000, arr size: 21200000
step: 2130000, arr size: 21300000
step: 2140000, arr size: 21400000
step: 2150000, arr size: 21500000
step: 2160000, arr size: 21600000
step: 2170000, arr size: 21700000
step: 2180000, arr size: 21800000
step: 2190000, arr size: 21900000
step: 2200000, arr size: 22000000
step: 2210000, arr size: 22100000
step: 2220000, arr size: 22200000
step: 2230000, arr size: 22300000
step: 2240000, arr size: 22400000
step: 2250000, arr size: 22500000
step: 2260000, arr size: 22600000
step: 2270000, arr size: 22700000
step: 2280000, arr size: 22800000
step: 2290000, arr size: 22900000
step: 2300000, arr size: 23000000
step: 2310000, arr size: 23100000
step: 2320000, arr size: 23200000
step: 2330000, arr size: 23300000
step: 2340000, arr size: 23400000
step: 2350000, arr size: 23500000
step: 2360000, arr size: 23600000
step: 2370000, arr size: 23700000
step: 2380000, arr size: 23800000
step: 2390000, arr size: 23900000
step: 2400000, arr size: 24000000
step: 2410000, arr size: 24100000
step: 2420000, arr size: 24200000
step: 2430000, arr size: 24300000
step: 2440000, arr size: 24400000
step: 2450000, arr size: 24500000
step: 2460000, arr size: 24600000
step: 2470000, arr size: 24700000
step: 2480000, arr size: 24800000
step: 2490000, arr size: 24900000
step: 2500000, arr size: 25000000
step: 2510000, arr size: 25100000
step: 2520000, arr size: 25200000
step: 2530000, arr size: 25300000
step: 2540000, arr size: 25400000
step: 2550000, arr size: 25500000
step: 2560000, arr size: 25600000
step: 2570000, arr size: 25700000
step: 2580000, arr size: 25800000
step: 2590000, arr size: 25900000
step: 2600000, arr size: 26000000
step: 2610000, arr size: 26100000
step: 2620000, arr size: 26200000
step: 2630000, arr size: 26300000
step: 2640000, arr size: 26400000
step: 2650000, arr size: 26500000
step: 2660000, arr size: 26600000
step: 2670000, arr size: 26700000
step: 2680000, arr size: 26800000
step: 2690000, arr size: 26900000
step: 2700000, arr size: 27000000
step: 2730000, arr size: 27300000
step: 2740000, arr size: 27400000
step: 2750000, arr size: 27500000
step: 2760000, arr size: 27600000
step: 2770000, arr size: 27700000
